Sentence 1	Sentence 2	Total score
Thu nhập hộ gia đình trung bình giảm 1,1 phần trăm từ năm 2001 đến 2002 xuống còn $ 42,409, sau khi tính đến lạm phát	Cuộc khảo sát cũng tìm thấy thu nhập hộ gia đình trung bình tăng $ 51, khi chiếm lạm phát, đến $ 43057	1.4
Các nhà lãnh đạo Hoa Kỳ và Châu Âu đã cam kết vào thứ Tư sẽ hợp tác để ngăn Iran phát triển vũ khí hạt nhân, trình bày một mặt trận thống nhất sau nhiều tháng chịu đựng cay đắng đối với Iraq	Bush nói Mỹ và Liên minh châu Âu lãnh đạo, tại một hội nghị thượng đỉnh Washington hàng năm, đồng ý về sự cần thiết để giữ cho Iran phát triển vũ khí hạt nhân	3.2
Công ty cho biết họ sẽ giảm giá bán buôn của hầu hết các CD hàng đầu xuống còn 9,09 đô la từ 12,02 đô la	Công ty này cũng cho biết sẽ cắt giảm giá bán buôn trên băng cassette và thay đổi giá bán lẻ đề xuất là $ 8,98	1.6
Ông rời quân đội đến Syria, nơi ông được đào tạo tôn giáo	Ông chuyển tới Syria, nơi ông đã trải qua đào tạo tôn giáo hơn nữa tín ngưỡng Hồi giáo truyền thống	3.0
Cuộc họp dự kiến kết thúc vào tối thứ Tư, với những người tham dự phê chuẩn các nghị quyết thể hiện quan điểm của giáo phái về các vấn đề nhưng điều đó không ràng buộc đối với các nhà thờ	Hôm thứ Tư, người tham dự sẽ bỏ phiếu về nghị quyết bày tỏ quan điểm Baptist Nam về các vấn đề, nhưng không bắt buộc đối với các nhà thờ cá nhân	3.273
Nhưng hiệu suất không đầy đủ của học sinh trong các nhóm nhỏ khác nhau đã gán tiểu bang với mác thiếu theo đạo luật Không trẻ em bị bỏ lại phía sau của liên bang	Nhưng việc thực hiện không đầy đủ các sinh viên trong các phân nhóm khác nhau, như chủng tộc, đẩy nhà nước vào danh sách nhu cầu cải thiện dưới No Child Left Behind Act liên bang	4.0
Điều này đã dẫn đến sự phục hồi của bàn thờ Cancuen nặng 270 kg, được công bố vào thứ Tư bởi Đại học Vanderbilt ở Nashville và Hiệp hội Địa lý Quốc gia	Điều này dẫn vào tháng trước để sự phục hồi của 600 pound Cancun bàn thờ, Đại học Vanderbilt ở Nashville và National Geographic Society công bố vào hôm thứ Tư	3.25
Cổ phiếu của Allergan giảm 14 cent, đóng cửa ở mức 78,12 USD trên thị trường chứng khoán New York tin tức  trang web	Cổ phiếu của Allergan đã tăng 14 cent ở $ 7840 trong phiên giao dịch cuối năm trên thị trường chứng khoán của New York	3.25
Cổ phiếu của Allergan giảm 14 cent, đóng cửa ở mức 78,12 USD trên thị trường chứng khoán New York tin tức  trang web	Cổ phiếu của Allergan đã tăng 14 cent ở $ 7840 trong phiên giao dịch cuối năm trên thị trường chứng khoán của New York	3.25
Mùa thu nhập quý hai sắp tới sẽ đặc biệt quan trọng trong việc cung cấp hướng dẫn cho các nhà đầu tư, họ nói	Họ nói rằng các báo cáo lợi nhuận quý II sẽ là chìa khóa trong việc đưa ra các nhà đầu tư hướng dẫn đó	5.0
Trong một cú đánh không quá tinh tế vào Dean, ông dự đoán người Mỹ sẽ không bầu một đảng Dân chủ người phát ra tiếng kèn không chắc chắn trong những thời điểm nguy hiểm này	Họ sẽ không bầu làm chủ tịch đảng Dân chủ người nghe một tiếng kèn không chắc chắn trong những thời điểm nguy hiểm	3.5
Điều đó đã lấy điểm chuẩn 10 năm US10YT  RR giảm 932, sản lượng của nó tăng lên 3,37 phần trăm từ 3,34 phần trăm vào cuối ngày thứ năm	Chỉ số chuẩn 10 năm chúng ta định 10YTRR 1132 mất giá, chiếm dưới 321% từ 317% vào cuối ngày thứ Hai	3.417
Báo cáo dự báo sẽ có 71079 điểm nóng trên toàn thế giới trong năm nay, tăng từ chỉ 14752 trong năm 2002 và 1214 trong năm 2001	Báo cáo cũng cho biết rằng sẽ có tới 9,3 triệu du khách đến các điểm du lịch nổi bật trong năm nay, lượt khách một lần nữa tăng từ mức 2,5 triệu ít ỏi vào năm 2002	1.75
Báo cáo dự báo sẽ có 71079 điểm nóng trên toàn thế giới trong năm nay, tăng từ chỉ 14752 trong năm 2002 và 1214 trong năm 2001	Bản báo cáo cũng khẳng định rằng sẽ có đến 9,3 triệu du khách đến các điểm nóng năm nay, tăng một lần nữa từ ít ỏi 2,5 triệu vào năm 2002	1.75
Một nghiên cứu mới, được thực hiện ở châu Âu, cho thấy loại thuốc này hoạt động tốt như một nghiên cứu đang bị tranh chấp trước đó, được tài trợ bởi ImClone Systems, cho biết nó đã làm được	Các bác sĩ kết luận Erbitux, thuốc ung thư vướng Systems ImClone trong một vụ bê bối giao dịch nội gián, làm việc chỉ cũng như một nghiên cứu trước đây do công ty tài trợ cho biết nó đã làm	2.7
Cổ phiếu của ngân hàng đã giảm 45 xu trong giao dịch ngày hôm qua xuống còn 91,51 đô la mỗi cổ phiếu	Cổ phiếu của M  T, trong đó có trụ sở tại Buffalo, đã giảm 41 cent, xuống còn $ 91,51	2.75
Luật sư của cô Donald Levine nói với tờ The Telegraph rằng cô đã được đề nghị 250000 đô la Mỹ để kể câu chuyện của mình cho đài truyền hình Úc	Ông Levine cho biết cô đã được chào bán $ 400000 để kể câu chuyện của mình cho một mạng lưới truyền hình Úc	3.75
Perry đã triệu tập các nhà lập pháp vào hai phiên họp đặc biệt để giải quyết việc tái phân chia quốc hội	Perry đã yêu cầu hai phiên lập pháp đặc biệt để cố gắng buộc kế hoạch tái phân bổ được thông qua	3.75
Perry đã triệu tập các nhà lập pháp vào hai phiên họp đặc biệt để giải quyết việc tái phân chia quốc hội	kể từ Perry đã kêu gọi hai phiên lập pháp đặc biệt để cố gắng buộc các kế hoạch tái phân chia thông qua	3.75
Trong vụ bạo lực mới nhất, quân nổi dậy đã ném bom vào một đoàn xe của Mỹ ở phía bắc Baghdad, giết chết một người lính	Sớm thứ Hai, quân nổi dậy đã ném một quả bom tự chế tại một đoàn Mỹ ở miền bắc Baghdad, giết chết một người lính Mỹ	4.111
Các nhóm người tiêu dùng chống lại những thay đổi, nói rằng họ làm tổn thương cá nhân trong thị trường	nhóm người tiêu dùng phản đối những thay đổi, nói rằng họ tập trung quá nhiều cửa hàng tại quá ít các đế chế truyền thông	3.6
Các quan chức AirTran và một quan chức Boeing đã từ chối bình luận ngày hôm qua	Trish York, một phát ngôn viên của Boeing, từ chối bình luận về thỏa thuận này	4.0
Vụ kiện mang tên Shelley, một đảng viên đảng Dân chủ và các nhà đăng ký tại các hạt Los Angeles, Orange và San Diego	Vụ kiện có tên Bộ trưởng Ngoại giao Kevin Shelley, thuộc đảng Dân chủ, và đăng ký cử tri ở Los Angeles, Orange và quận San Diego	4.2
Các nhà đàm phán cho biết hôm thứ Sáu họ đã đạt được tiến bộ tốt trong vòng đàm phán mới nhất về việc tạo ra Hiệp định thương mại tự do Trung Mỹ	Nhà đàm phán cho biết họ đạt được tiến bộ trong vòng mới nhất của họ đàm phán tự do thương mại giữa Hoa Kỳ và năm quốc gia Trung Mỹ trong tuần này tại Houston	3.75
Rất khó để thực hiện các khoản vay hợp vốn lớn ở Nhật Bản, nơi thiếu chuyên môn, một nhân viên ngân hàng nói	Rất khó khăn để làm các khoản vay hợp vốn lớn tại Nhật Bản, một nhân viên ngân hàng cho biết	3.8
Vụ việc xuất phát từ Illinois và liên quan đến một công ty vì lợi nhuận có tên Telemarketing Associates Inc	Trường hợp quyết định thứ hai tập trung vào một Illinois gây quỹ, Telemarketing Associates	4.4
Thứ Năm hàng tuần, một ủy ban quản lý ngũ cốc họp trong ban giám đốc nông nghiệp của Ủy ban để quyết định kết quả đấu thầu xuất khẩu hàng tuần	Một ủy ban quản lý hạt thường gặp mỗi hôm thứ năm tại đơn vị sản xuất nông nghiệp của Ủy ban  một mục tiêu của cuộc tấn công vào hôm thứ Tư  để quyết định kết quả của cuộc đấu thầu xuất khẩu hàng tuần	3.6
Ông kêu gọi Quốc hội gửi cho tôi hóa đơn cuối cùng càng sớm càng tốt để tôi có thể ký nó thành luật	Tôi kêu gọi Quốc hội để nhanh chóng giải quyết bất kỳ sự khác biệt và gửi cho tôi hóa đơn cuối cùng càng sớm càng tốt để tôi có thể đăng ký nó thành luật, ông nói	4.6
Ông Pingeon là giám đốc kiện tụng cho Dịch vụ Pháp lý Correctional Massachusetts, một nhóm quyền của tù nhân	Pingeon nói một luật sư cho tổ chức của mình, Massachusetts Correctional Dịch Vụ Pháp Lý, phỏng vấn Assan vào thứ Ba	1.667
Yee tốt nghiệp vào năm 1990 từ Học viện quân sự Hoa Kỳ tại West Point, New York	Yee lớn lên tại Hoa Kỳ và tốt nghiệp Học viện Quân sự Mỹ ở West Point	4.0
PNC hối tiếc sự tham gia của mình trong các thỏa thuận, Chủ tịch và Giám đốc điều hành James Rohr nói trong một tuyên bố	James Rohr, chủ tịch kiêm giám đốc điều hành, cho biết PNC hối tiếc vụ việc	4.333
CCAG đã hỗ trợ Bill Curry, đối thủ của Rowland trong cuộc bầu cử thống đốc năm 2002	nhóm của ông Swan hỗ trợ đối thủ Dân chủ Nhân đốc, Bill Curry trong cuộc bầu cử năm 2002 cho biết	3.0
Sau đó, họ đã rơi ra và đã ủng hộ một loạt các dân quân đối thủ Congo trong những năm gần đây	Hai quốc gia xâm lược sau đó xảy ra mâu thuẫn, và kể từ đó hậu thuẫn cho những phe đối đầu	3.5
Các quan chức y tế tiểu bang cho biết hôm nay một phụ nữ trẻ ở vùng đông bắc Kansas có khả năng mắc bệnh thủy đậu đầu tiên ở tiểu bang hoặc động vật	nhân viên y tế xác nhận ngày hôm nay rằng một đông bắc Kansas phụ nữ có trường hợp đầu tiên của tiểu bang của monkeypox và trường hợp đầu tiên về phía tây của sông Mississippi	3.5
Một người khác cho biết các thành viên của họ sẽ tiếp tục gọi hơn 50 triệu số điện thoại trong danh sách của Ủy ban Thương mại Liên bang	Trong khi đó, Hiệp hội Tiếp thị trực tiếp biết các thành viên của nó không nên gọi gần 51 triệu số trong danh sách đố	2.0
Một người khác cho biết các thành viên của họ sẽ tiếp tục gọi hơn 50 triệu số điện thoại trong danh sách của Ủy ban Thương mại Liên bang	Trong khi đó, Hiệp hội Tiếp thị trực tiếp biết các thành viên của nó không nên gọi gần 51 triệu số trong danh sách	2.0
Nghệ sĩ giải trí kỳ cựu Bob Hope kỷ niệm sinh nhật lần thứ 100 của mình  và nhiều năm trong showbusiness  vào thứ năm	Hollywood và thế giới đang chuẩn bị tổ chức sinh nhật lần thứ 100 nghệ sĩ huyền thoại Bob Hope vào hôm thứ Năm	3.75
Cổ phiếu của Navistar đã giảm 44 cent, tương đương 1,1%, ở mức 41,19 USD trên thị trường chứng khoán New York sau khi giảm xuống mức thấp 39,93 USD	cổ phiếu Navistar tăng một xu đến $ 41,64 tại chiều muộn trên thị trường chứng khoán New York sau khi giảm thấp nhất là $ 39,93	2.0
Colin Powell, Bộ trưởng Ngoại giao, cho biết liên lạc với Iran sẽ không dừng lại	Bộ trưởng Ngoại giao Colin Powell cho biết hôm qua rằng việc tiếp xúc với Iran sẽ tiếp tục	4.333
Các vấn đề giảm dần vượt trội so với các nhà đầu tư gần 21 trên Sàn giao dịch chứng khoán New York	Mã giảm giá áp đảo gần 83 trên NYSE và hơn 115 trên Nasdaq	1.8
Một sân bay nổi với sàn bay rộng 4,5 mẫu Anh, con tàu mất khoảng năm năm để xây dựng	Reagan, một sân bay nổi với một cỗ máy bay bao gồm 4,5 hecta, là chiếc tàu sân bay Nimitzclass lần thứ chín được xây dựng tại nhà máy đóng tàu ở Newport News	2.667
Stout trước đây làm việc cho công ty con của General Electric GE Capital Service Inc, nơi ông là phó chủ tịch và giám đốc công nghệ và thông tin	Stout nói đến Sprint từ GE Capital, nơi ông từng là Giám đốc công nghệ và nhân viên thông tin	3.2
Chỉ có lợi suất 0,3% của Intel Corp là thấp hơn	Chỉ Intel Corp có tỷ suất cổ tức thấp hơn	2.8
Một đồng nghiệp nữ bị thương cũng phải nhập viện và được liệt kê trong tình trạng tốt	Một phụ nữ được liệt kê trong tình trạng tốt tại trường HealthPark Memorial, ông cho hay	2.2
Nạn nhân vụ nổ súng đã được đưa đến Trung tâm bệnh viện Kings County, nơi anh ta chết sau đó, cảnh sát cho biết	Nạn nhân, người chưa xác định được danh tính, đã được đưa đến Bệnh viện Quận Kings, nơi ông được thông báo rằng đã chết	4.333
Giám đốc điều hành MGM, NBC và Liberty đã không có bình luận ngay lập tức	Một phát ngôn viên của Microsoft không phải ngay lập tức có sẵn để bình luận	2.0
Phân tích mới cho thấy 32 trong số 16608 người tham gia bị ung thư buồng trứng trong khoảng 5 năm theo dõi	Các phân tích mới phát hiện ra rằng 32 của 16608 người tham gia phát triển ung thư buồng trứng trong khoảng 5 12 năm theo dõi, trong đó có 20 phụ nữ đã dùng hormone	3.0
Họ báo cáo các triệu chứng sốt, nhức đầu, phát ban và đau cơ	Các triệu chứng bao gồm cứng cổ, sốt, đau đầu và nhạy cảm với ánh sáng	2.333
Chúng tôi đã trở nên giống như những người hoàn toàn xa lạ, Klein trích lời anh	Chúng tôi đã trở nên giống như hoàn toàn xa lạ, John nói với một người bạn thân hai ngày trước khi ông qua đời	3.25
Davey tốt nghiệp vào hôm thứ bảy tại trường Cao đẳng Tây Bắc, liên kết với Hội đồng Thiên Chúa, với bằng cử nhân nghệ thuật về tôn giáo và triết học	Davey bắt đầu tham dự Northwest College, được liên kết với Assemblies of God, vào năm 1999 với mục đích để trở thành một mục sư	2.25
Diễn viên kỳ cựu và diễn viên màn ảnh Hume Cronyn qua đời vì bệnh ung thư vào Chủ nhật	diễn viên Hume Cronyn, 91, đã qua đời Chủ Nhật tại nhà riêng ở bang Connecticut	3.5
Scrimshaw, Giám sát viên, Bộ trưởng tốt nhất và Mười người mong muốn nhất dự kiến sẽ hoàn thành lĩnh vực Belmont	Tướng tốt nhất, những vật nhỏ bằng vỏ ốc, và Ten Most Wanted đều có tập luyện vào sáng thứ Hai	2.25
Chỉ số tổng hợp Nasdaq công nghệ IXIC giảm 23,54 điểm, tương đương 1,42%, xuống 1630,08	Rộng hơn Standard  Poor 500 Index SPX bỏ 11,91 điểm, tương đương 1,19%  tại 986,60	0.75
Chỉ số tổng hợp Nasdaq công nghệ IXIC giảm 23,54 điểm, tương đương 1,42%, xuống 1630,08	Rộng hơn Standard  Poor 500 Index SPX bỏ 11,91 điểm, tương đương 1,19%  tại 986,60	0.75
Đó là cuộc thử nghiệm cuối cùng trước khi giao tên lửa cho các lực lượng vũ trang	đài phát thanh nhà nước cho biết đây là bài kiểm tra cuối cùng trước khi tên lửa đã được chuyển giao cho lực lượng vũ trang	4.0
Việc rút bạn quân  khỏi đất nước chúng tôi là không thể tránh khỏi, cho dù điều đó xảy ra hôm nay hay ngày mai và ngày mai sẽ đến sớm	Rút của bạn từ nước ta là không thể tránh khỏi, cho dù nó xảy ra ngày hôm nay hay ngày mai, thêm tiếng nói, mà ký tắt cho ngày như giữa tháng Chín	3.5
Deirdre Hisler, người quản lý của Chính phủ Canyon, cho biết nhà nước từ lâu đã để mắt đến phần tài sản này và mong muốn hoàn thành thỏa thuận để có được nó	Deirdre Hisler, giám đốc Canyon của Chính phủ, cho biết nhà nước từ lâu đã thèm muốn này mảnh bất động sản, và là mong muốn hoàn thành thỏa thuận	5.0
Theo một bản tin được gửi bởi Quỹ Terry SchindlerSchiavo, Diễn giả Florida Johnnie Byrd sẽ giới thiệu Dự luật Terri trong phiên họp đặc biệt hôm thứ Hai	Phát ngôn viên của nhà Johnnie Byrd, dự kiến sẽ giới thiệu  Terri Bill trong một phiên họp đặc biệt một ngày của cơ quan lập pháp tiểu bang đang được tổ chức tại Tallahassee vào hôm nay	3.75
Ngoài ra, các doanh nghiệp trên khắp Utah đang tình nguyện hiển thị cảnh báo Amber trên các dấu hiệu của họ	Các doanh nghiệp sẵn lòng đặt các cảnh báo trên bảng thông báo và lý hiệu điện tử của họ	3.75
Nhờ đồng euro tăng so với đồng tiền Nhật Bản, đồng đô la đã ở mức 117,24 yên, cao hơn mức thấp nhất trong 10 tháng qua là 116 yên	sự tăng giá của đồng euro so với đồng yên và đầu cơ của sự can thiệp của Nhật Bản đã giúp công ty đô la để 117,25 yen, cao hơn 10 tháng thấp của 116 yen nhấn vào thứ năm	4.25
Cựu Tổng Giám mục Nam Phi Desmond Tutu cho biết hôm Chủ nhật, ông không thấy tất cả những gì ồn ào đã kết thúc việc bổ nhiệm một giám mục đồng tính, nhưng thúc giục giáo sĩ đồng tính vẫn sống độc thân	Người đoạt giải Nobel của Nam Phi Đức Tổng Giám Mục Desmond Tutu nói rằng ông không hiểu tất cả những ồn ào về việc bổ nhiệm một giám mục đồng tính, nhưng ông đã kêu gọi giáo sĩ đồng tính luyến ái vẫn còn độc thân	4.5
Chứng khoán Nga đã giảm sau vụ bắt giữ hôm thứ Bảy tuần trước của Mikhail Khodorkovsky, giám đốc điều hành của Yukos Oil, với cáo buộc gian lận và trốn thuế	Việc bắt giữ cuối tuần của người đàn ông giàu nhất của Nga, Mikhail Khodorkovsky, giám đốc điều hành của dầu lớn Yukos, về tội gian lận và trốn thuế thị trường tài chính mất bình tĩnh	4.0
Các nhân chứng của Reuters cho biết nhiều ngôi nhà đã bị san phẳng và các quảng trường trong thành phố có rất nhiều trẻ em đang khóc và những người vô gia cư, nằm trong chăn để bảo vệ họ khỏi cái lạnh	Reuters nhân chứng cho biết quảng trường được đóng gói với trẻ em và người mất nhà cửa, túm tụm trong chăn để bảo vệ họ khỏi lạnh	3.25
Trong năm nay, nó dự kiến doanh thu 94 triệu đô la và lợi nhuận 26 xu một cổ phiếu từ hoạt động liên tục	Đây là một sự gia tăng từ 22,5 $ triệu và 5 cent một cổ phiếu dự báo trước đó	0.75
Vào tháng 9, HewlettPackard đã ký một thỏa thuận phát triển và tiếp thị với công ty	Bốn tháng sau đó đã ký một thỏa thuận tiếp thị doanh với HewlettPackard Co	2.75
Người tiêu dùng vẫn sẽ phải lấy thẻ bảo mật giải mã từ nhà khai thác cáp của họ để cắm vào bộ	Để xem truyền hình trả tiền, người tiêu dùng sẽ chèn vào các thiết lập một thẻ an ninh được cung cấp bởi dịch vụ cáp của họ	4.0
Người tiêu dùng vẫn sẽ phải lấy thẻ bảo mật giải mã từ nhà khai thác cáp của họ để cắm vào bộ	Để xem truyền hình trả tiền, người tiêu dùng sẽ chèn vào các thiết lập vào một thẻ an ninh được cung cấp bởi dịch vụ cáp của họ	4.0
Vào thứ sáu, chiếc Concorde bắt đầu mọc lên xung quanh mặt trời mọc và dường như phóng thẳng ra khỏi mặt trời đang mọc	Hôm qua, Concorde dường như khởi động bản thân thẳng ra nước mặt trời mọc	3.4
Tập Phim A Stage 1 được tuyên bố khi mức ozone đạt 0,20 phần triệu	Các tiêu chuẩn liên bang cho ôzôn là 0,12 phần triệu	2.2
Sau khi Hughes từ chối khôi phục lại Hernandez, anh ta đã khiếu nại lên Ủy ban cơ hội việc làm bình đẳng	Hernandez nộp đơn khiếu nại Equal Employment Opportunity Commission và  đã bị kiện	3.4
Ba chuỗi cửa hàng tạp hóa đã dựa vào các nhà quản lý cửa hàng và nhân viên thay thế để giữ cho các cửa hàng của họ mở	Các chuỗi siêu thị đã sử dụng cán bộ quản lý và người lao động thay thế để giữ cho cửa hàng của họ mở, thường là vào giảm giờ	3.4
Đề xuất của Dewhurst kêu gọi chấm dứt đột ngột kế hoạch Robin Hood gây tranh cãi về tài chính học đường	Ủy ban sẽ đề xuất một sự thay thế cho hệ thống tài chính trường Robin Hood	2.6
Các quốc gia và chủ nợ tư nhân khác đang nợ ít nhất 80 tỷ đô la	các nước khác đang nợ ít nhất tỷ $ US80 108520000000 $	3.4
Các nhà tiếp thị qua điện thoại gọi các số trong danh sách sau ngày 1 tháng Mười có thể phải đối mặt với khoản tiền phạt lên tới 11000 đô la mỗi cuộc gọi	Theo luật, telemarketers người gọi số trong danh sách có thể bị phạt lên đến $ 11000 cho mỗi vi phạm	3.6
Trong khi đợi một quả bom tiếu đôi để đến, quả bom phát nổ, giết chết Wells	Các quả bom phát nổ trong khi cơ quan chức năng đang chờ đợi một đội bom đến	3.25
